exact_f1,exact_precision,exact_recall,false_positive_rate,label,prediction_count,relaxed_f1,relaxed_precision,relaxed_recall,truth_count
1.0,1.0,1.0,0.0,AMOUNT,1248,1.0,1.0,1.0,1248
1.0,1.0,1.0,0.0,CARD_LAST4,624,1.0,1.0,1.0,624
1.0,1.0,1.0,0.0,COST_CENTER,748,1.0,1.0,1.0,748
1.0,1.0,1.0,0.0,DATE,999,1.0,1.0,1.0,999
0.999,0.999,0.999,0.001,EMAIL,1001,0.999,0.999,0.999,1001
1.0,1.0,1.0,0.0,EMPLOYEE_ID,999,1.0,1.0,1.0,999
1.0,1.0,1.0,0.0,INVOICE_ID,998,1.0,1.0,1.0,998
1.0,1.0,1.0,0.0,PERSON,1000,1.0,1.0,1.0,1000
1.0,1.0,1.0,0.0,PHONE_NUMBER,999,1.0,1.0,1.0,999
1.0,1.0,1.0,0.0,PROJECT_CODE,749,1.0,1.0,1.0,749
0.8234,0.7779,0.8746,0.2221,VENDOR,1121,0.9415,0.8894,1.0,997
